title,conferences,speakers,summary,
"GraphQL - The Next API Language","Codemotion 2019",Niek,"Today we build most of our API’s in a RESTful way by delivering json data. This approach creates a tight and inflexible coupling between front- and back-end, and requires many client server interactions. This way of using an API on mobile devices, which are typically connected via unreliable, slow, and high latency networks, causes developers a lot of headaches. However, there is a new API kid on the block: GraphQL that solves this issues. GraphQL is a new way of specifying an API based on the demand of the API consumer. I will show you the the power of GraphQL and what you can do with GraphQL that could not be done with REST."
"Immutable Infrastructure","DevOpsDays 2017","Niek","he Docker slogan 'Build, Ship, and Run' advertises easy set up of immutable software builds, but it is not always that easy. Setting up immutable builds with Docker is pretty straight forward and shipping is just a matter of pushing the image to a repository. The next step is building the cloud infrastructure to run the containers. In this talk I briefly touch upon building immutable software. But the main focus of the talk will be on creating an immutable infrastructure. In this talk I will show you how to create an immutable infrastructure on AWS with Terraform. I will use a real world example to explain and show live how easy you can get micro services live on AWS and continuously apply changes to the same cloud environment"
"Software Architecture for Developers","Nextbuild 2018",Simon,"The software development industry has made huge leaps in recent years; with agile, lean, software craftsmanship, evolutionary design and microservices being just a few of the buzzwords we throw around. Despite this, software development teams are often more chaotic than they are self-organising, with the resulting code being more of a mess than was perhaps anticipated. Successful software projects aren’t just about good code though, and sometimes you need to step away from the IDE for a few moments to see the bigger picture. This session is about that bigger picture and is aimed at software developers who want to learn more about software architecture, technical leadership and the balance with agility. This talk will debunk some of the common myths as we look at five things every developer should know about software architecture; a guide to software architecture on modern software projects that’s pragmatic rather than academic and lightweight rather than “enterprisey”."
"Open Source all the offentlig things! - men hvordan gjør vi det i NAV?","JavaZone 2018","Audun,Truls","NAV har hatt IT-systemer i over 50 år. Kildekoden til disse systemene har vært lukket, i likhet med andre offentlige IT-systemer. Kildekoden til disse systemene bør være åpent tilgjengelig av flere årsaker; det at de er finansiert over skatteseddelen er bare en av dem. Nå åpner vi (gradvis) opp koden vår!  Open Source forutsetter kvalitet. Ikke bare i koden, men også i organisasjonen. Denne kvaliteten har ikke NAV hatt frem til nå. Denne presentasjonen handler om hvilke grep NAV har tatt det det siste året for å bli gode nok til at vi kan åpne koden vår på en forsvarlig måte. Vi vil dele erfaringer fra å bygge en moderne utviklingsorganisasjon inne i en eksisterende organisasjon. Hva har vært lett, og hva har vært vanskelig? Hva har fungert, og hva har ikke fungert?NAV har "
"Inside a hacker's mind","Codemotion 2019","Maria,Zahin","The aim of this talk is to introduce you to a few latest critical vulnerabilities through practical examples and code demos. The first half of the talk will cover the two most critical vulnerabilities found in platforms previously unfathomable, namely vulnerabilities in Apache Struts and Serverless Architectures with practical examples and demos of what can happen with the exploitation of these vulnerabilities. The second half will delve deeper into the Stored/Persistent XSS Zero-day flaw, a vulnerability that allowed hackers to compromise 70,000 websites in March 2019."
"Wrapping and Securing REST APIs with GraphQL","Codemotion 2019",Roberto,"Your frontend developers are pushing to get started with GraphQL, but you don't have the backend capacity to migrate your existing REST APIs to GraphQL? Or you want to have a GraphQL API next to your existing endpoints that are based on REST? In this talk, I'll show how to create a Node.js/Express server that wraps existing REST APIs into one single GraphQL endpoint, while also keeping security in mind."
"Preparing for a future Microservices journey","Codemotion 2019",Susanne,"How can a small team handle infrastructure complexities that come with Microservices and still deliver business and user value? The short answer to that could be to build your core domain - that differentiates you from your competitors - in-house and outsource undifferentiating commodities to utility suppliers. In this talk Susanne will use Wardley Maps to visualise how the value chain can evolve when getting infrastructure components handled by different options: Going from open source software to Kubernetes' container orchestration, to Istio's service mesh and to Serverless technologies"
"To the Moon and Back: The Technical Parts","Codemotion 2019","Live JS","How do you put together a live performance which runs in a browser? Come and find out! Live JS talk you through the opening performance in detail and how they built software using javascript which runs in a browser, to create an audio visual spectacular. Using APIs such as Web Audio, Web MIDI and Canvas, as well as hardware, come and learn about the technical details behind performing live with javascript!"
"Zero Trust & The Flaming Sword of Justice","Codemotion 2019","Dave","Security breaches pervade the headlines. What was seen as a rare instance just 5 years ago now seems to occupy the daily news cycle. A lot of these data breaches are made possible due to missteps and misconfigurations. There are many security issues that are introduced into website authentication mechanisms that further compound the security issues in addition to enforcing bad behavior by the end users. Security debt is a real problem for the vast majority of organizations in the world today and the attackers will utilize this to their advantage."
"The Life of a Packet Through Istio","Codemotion 2019","Matt","Istio is a service mesh for Kubernetes that offers advanced networking features. It provides intelligent routing, resiliency, and security features, so that service authors don't have to keep re-implementing them. Istio is rapidly taking off and there are great introductory talks everywhere. However in this session, we will explore precisely how it does what it does, following one brave little packet in from the internet and back out again. This will give a great insight into Istio's full power, and its fascinating architecture."
